artist.name,terms,release.name
Bloomfield,deep house,CafA(c) Solaire 11-Download Edition
Hacken Lee,cantonese pop,Concert Hall Live
Tones On Tail,dark wave,Everything!
ARRESTED DEVELOPMENT,hip hop,Strong
The Ataris,pop punk,Welcome The Night
The Jordanaires,country gospel,The King's Harmoniers
Dictafone,chanson francaise,The Chocolate King
U2,dance rock,Live From Paris
Ayo,neo soul,Live At The Olympia
John Sebastian,folk rock,Welcome Back
X-ecutioners featuring M.O.P.,turnablism,Built From Scratch
Hevia,folk rock,Tierra De Hevia
Maximilian Hecker,chamber pop,Help Me
Frost,gangster rap,My Plastic Heart
Slackbaba,chill-out,And The Beat Goes Om
Sunscreem,progressive house,Looking At You: The Club Anthems
FU-Schnickens,comedy rap,Greatest Hits
Agnostic Front,hardcore punk,Riot_ Riot_ Upstart
The Mars Volta,experimental rock,Inertiatic Esp
Kitty Kallen,cool jazz,Our Lady... Kitty Kallen
Hoods,hardcore punk,The King Is Dead
Leon Lai,chinese music,Homework
The Winans,ccm,Decisions
Streetwize,smooth jazz,Smoothe Urban Jazz
The Shirelles,doo-wop,Karaoke: 60's Star Power - Singing to the Hits
Bingo Players,tech house,Nervous Nitelife: Tom Stephan
Jack Johnson,rock,Brushfire Fairytales
Catupecu Machu,electro rock,El NAomero Imperfecto
Dee Clark,doo-wop,Raindrops - The Best Of...
Kathy Mattea,bluegrass,Roses
City High,hip hop,Ultimate R&B
ThA(c)ophil,french pop,Des vies
Line Renaud,chanson,Les AnnA(c)es Chansons
Hal Russell,free jazz,Hal's Bells
Mau Mau,progressive house,Safari Beach (Tucasa Micasa)
Zagar feat. Underground Divas,future jazz,Wings Of Love Remixes
Bert Kaempfert,easy listening,Two In One - A Singin' Safari/Safari Swings Again
Autumnblaze,doom metal,Perdition Diaries
Molesta Ewenement,hip hop,...Taka Plyta
Tommy James And The Shondells,brill building pop,Anthology
Chico Cesar,brazilian pop music,Francisco Forro Y Frevo
Pery Ribeiro,bossa nova,Tributo A Taiguara
Pedro Luis e a Parede,samba,Astronauta Tupy
Fran Perea,celtic,Punto y aparte
Martina McBride,country,The Way That I Am
Reach 454,post-grunge,Reach 454
Roy Brown,jump blues,Good Rockin' Tonight - Live In San Francisco
Unwritten Law,post-grunge,Rolling Stone Originals - online single 93744-6
Busdriver,alternative hip hop,Well Deep: Ten Years Of Big Dada
Jude Cole,pop rock,Start The Car
La 5A Estacion,pop rock,Primera Toma
Primordial,folk metal,A Journey's End
Christophe Beck,electronica,Elektra
Mike Vax,hard bop,Trumpets - The Transformation
Capleton,dancehall,Live At Negril
Blind Willie Johnson,texas blues,The Complete Blind Willie Johnson
Solomon,hip pop,Piano Concertos; Grieg & Schumann
MarAa Elena Walsh,lullaby,Todos Cantamos Con Maria Elena
Martin Sexton,blue-eyed soul,The American
Richard Souther,chill-out,Cross Currents
The Chieftains,irish folk,The Chieftains 7
Stephan Micus,free improvisation,Towards The Wind
Darden Smith,blues-rock,Extra Extra
Kinky,alternative dance,Dance Vol. 2
The Last Days Of Jesus,deathrock,Alien Road
Radiohead,british pop,Pablo Honey (Collector's Edition)
Dub Pistols feat. TK & Ashley Slater,big beat,Rum & Coke
Paris_ Texas,big beat,Polyvinyl 2002 - 2003 Sampler
Gene Pitney,brill building pop,Something's Gotten Hold of My Heart: the Collection
FFH,ccm,Ready To Fly
John Mellencamp,heartland rock,The Lonesome Jubilee
Hadag Nahash,hip hop,Hadag Nahash - LIVE
Los AutA(c)nticos Decadentes,cumbia,Vinyl Replica:  Cualquiera Puede Cantar
Bob Willis,western swing,Texas Playboys
Dynamite Deluxe,hip hop,Deluxe Soundsystem
Richie Ray & Bobby Cruz,salsa,A life time of Hits.. (Live At Centro De Bellas Artes_ San Juan_ Puerto Rico.)
New Direction,gospel,New Direction
Soulwax,dance rock,Kill Your Darlings
Phantom Planet,power pop,Negatives
The Doors,classic rock,The Lost Interview Tapes Featuring Jim Morrison - Volume Two: The Circus Magazine Interview
Hysterie,tech house,Vocal House Diamonds Vol.2
Eiffel 65,europop,Blue [da ba dee] [2009 Remixes]
Tony Joe White,country rock,The Path Of A Decent Groove
Set Your Goals,pop punk,Mutiny: Deluxe Edition
Marisela,cumbia,La Otra
Jaco & Mixxmaster,trance,Feeling
Jimmy McCracklin,piano blues,The Modern Recordings 1948-50
Marilyn Horne,opera,Handel : Operatic Arias
Jane's Addiction,alternative metal,Strays
Every Time I Die,alternative metal,The Burial Plot Bidding War
Vodka Collins,glam rock,Boy's Life
King Tee,hip hop,At Your Own Risk
BerrogA1/4etto,gaita,Viaxe Por Urticaria
Mark Lowry,ccm,I Love To Tell The Story
Jackie Wilson,chicago soul,Lonely Teardrops
Solistiyhtye Suomi,german pop,20 Suosikkia / Rilluttele yAP
Chico Hamilton Quintet,soul jazz,An Introduction To Chico Hamilton Vol 3
Edmundo Ros,samba,Samba Samba
Save As,soul music,Chill House Planet_ Vol. 4
Klimperei,freestyle,Improvisation with myself_ volume1
William Orbit,progressive house,Strange Cargo III
The Killers,rock,The Twilight Saga: New Moon Original Motion Picture Soundtrack
Mad Are Sane_ The,punk,Who?What?Why?When?Where?
Olivier Messiaen,religious music,Messiaen: 100th Anniversary Box Set
Workhorse,dirty south rap,Beasts of Burden
Crowbar,sludge metal,Crowbar
The Pharcyde,rap,Humboldt Beginnings
Wayne Watson,ccm,The Very Best
Bad Azz,gangster rap,Personal Business (Explicit)
"MichA""le Bernard",chanson,Piano Voix
Lara Fabian,ballad,Carpe Diem
Abrar - Ul - Haq,bhangra,Billo on G.T. Road
Vivian,happy hardcore,Another Last Shot
Seal,dance pop,Live In Paris
Scott Glasgow,contemporary classical music,Bone Dry - Original Motion Picture Soundtrack
Faron Young,honky tonk,Live Fast_ Love Hard_ Die Young (Best of_ Vol. 1)
Djelimady Tounkara,latin jazz,Solon kA'no
Kurt Tepperwein,meditation,Charismatisches Selbstimage - Selbst-Management
Juan Diego FlA3rez / Orquesta SinfA3nica de Madrid / JesAos LA3pez-Cobos,opera,Gluck: OrfA(c)e et Euridice
Mary Black & General Humbert,country rock,Holding Up Half the Sky: Voices of Celtic Women
Moros Eros,experimental pop,Jealous Me Was Killed By Curiosity
Pierre Perret,chanson,Le Monde de Pierrot
Speech,hip hop,PEECHY
Jean Corti,chanson,Couka
Maria Callas/Eugenio Fernandi/Elisabeth Schwarzkopf/Giuseppe Nessi/Nicola Zaccaria/Mario Borriello/Renato Ercolani/Piero de Palma/Giulio Mauri/Elisabetta Fusco/Pinuccia Perotti/Coro del Teatro alla Scala_ Milano/Orchestra del Teatro alla Scala_ Milano/Tul,opera,Callas Sings Puccini
Harry Gregson-Williams,video game music,Rundown/Welcome To The Jungle
Tam Tam Go!,pop rock,Cruzando El RAo
David Zinman,easy listening,Richard Strauss: Ein Heldenleben; Tod und VerklA$?rung
Zeromancer,industrial rock,The Death Of Romance
Salt-N-Pepa,pop rap,Ultimate Girl Groups
Atomic Rooster,hard rock,Made In England
Alfredo Kraus,opera,KRAUS - Una Voz Universal
Captain Beefheart & The Magic Band,blues-rock,Strictly Personal
Mike And The Mechanics,pop rock,Living Years
Maroon 5,pop,Songs About Jane
The Tarriers,folk-pop,Tell The World About This
The Four Pennies,brill building pop,The Very Best Of The Four Pennies
The Flesh,post-grunge,The Flesh
Michael Whalen,meditation,Jazzworks Volume I
Amorphis,progressive metal,Karelian Isthmus
Thomas Dolby,pop rock,The Flat Earth (Collector's Edition)
BA1/4lent Ceylan,cabaret,Ganz schAPn turbA1/4lent
Rockit,tech house,Retro Boosters
Kris Gruen,lullaby,Lullaby School
Bonita,reggaeton,Album
Moraes Moreira,latin jazz,Estados
Orbital,techno,Snivilisation
20/20,power pop,Interstate
4 Skins,oi,A Fistful Of 4 Skins
Bryan White,country,How Lucky I Am
Betika_ Daouda,zouk,Afriki zouk vol2
John Holt,lovers rock,Ultimate Holt
Billy Pilgrim,folk-pop,Bloom
Mungo Jerry,pop rock,The Best Of In The Summertime
DeGarmo & Key,ccm,Collecton
Robben Ford,blues-rock,Talk To Your Daughter
Curtis Mayfield,chicago soul,Heartbeat
Oscar Peterson Trio,chill-out,Gone But Not Forgotten - Oscar Peterson
Dax Riggs,blues-rock,We Sing of Only Blood or Love
Porno For Pyros,dance rock,Rev
The Ronettes,brill building pop,The Best Of The Ronettes
My Little Airport,twee pop,Zoo Is Sad_ People Are Cruel
JosA(c)lito,chanson,Les plus grandes chansons
Rick Astley,dance pop,Body And Soul
The James Taylor Quartet,jazz funk,Whole Lotta Live 1998
Joe Bataan,salsa,Call My Name
Joe Grushecky,heartland rock,Outtakes and Demos 1975 -  2003
Jose Luis Perales,latin pop,ColecciA3n Diamante
Angelo Badalamenti / Keira Knightley,chill-out,The Edge Of Love
Carlos Vives,vallenato,Coleccion de Oro
Jeff And Sheri Easter,southern gospel,A Work In Progress
Bill & Gloria Gaither,country gospel,Southern Convention Songs
Markus,neue deutsche welle,Alles kommt wie es kommt
Jack Johnson,rock,Sleep Through The Static
Usher Featuring The Nu Beginning,hip hop,Back To The Beginning - Usher
Skeeter Davis,country rock,The Country Queen
Blue Rodeo,country rock,Lost Together
Charlie Louvin,country gospel,Tribute to the Grand Ole Opry - Vol. 2
Bob Marley & The Wailers,reggae,Legend
Juan Farcik,tech house,Abstract Mind EP
Maria Callas/Gianni Raimondi/Gabriella Carturan/Plinio Clabassi/Nicola Rossi-Lemeni/Coro del Teatro alla Scala_ Milano/Noberto Mola/Orchestra del Teatro alla Scala_ Milano/Gianandrea Gavazzeni,opera,Donizetti: Anna Bolena
Hoodfellas,gabba,Game Over
Jackie Edwards,rock steady,The Bunny Striker Lee Story
Carmen Y Laura,tejano,The Complete Discos Ideal Recordings_ Vol. 1
Jacques Dutronc,chanson,En Vogue
Edmond Leung,cantonese pop,Motclub 903 Fa Yuan Di Du Le Le Edmond Leung Yin Yue Hui
New York Dolls,glam rock,Manhattan Mayhem (a history of the Dolls)
Junior Reid,roots reggae,Visa
Screamin' Jay Hawkins,rock 'n roll,Screamin' Jay Hawkins
Steve Erquiaga,smooth jazz,Prayer: A Windham Hill Collection
The Shirrows,freakbeat,Shakin' All Over Again
Charlie Khan,cabaret,How We Divide the Cake
Mighty Joe Young,chicago blues,Mighty Man
Dream Warriors,jazz rap,The Master Plan
Don Gibson,country rock,I Can't Stop Loving You
Fall Out Boy,pop punk,Alternative Summer 2009
Mau Mau,progressive house,Marasma General
Dakis,greek,Back To The 70'S-The Very Best Of Dakis
Steven Halpern,meditation,Radiant Health & Well-Being
Lari White,cabaret,Sing Me To Sleep_ Mommy
Brenda Lee,ballad,The Very Best Of Brenda Lee Vol.2
Roy Rogers,western swing,Ride Ranger Ride
George Schuller,bebop,JigSaw
IMISKOUBRIA featuring Etsi De,reggae,I Apli Methodos Ton Trion
Miossec,chanson,1964
Opals,chicago soul,Doo-Wop Classics Vol. 9 [Beltone Records]
Capone-N-Noreaga feat. Busta Rhymes and Ron Browz,gangster rap,Channel 10
Cornell Campbell,roots reggae,Tell The People
Behemoth,black metal,Zos Kia Cultus
Dickies,peace punk,Locked 'n' Loaded
Faith Hill,country,Faith
DJ Clue / Fabolous Sport,gangster rap,If They Want It
Kool Moe Dee,hip hop,The Greatest Hits
Madonna,dance pop,Hard Candy
Bobaflex,rap metal,Apologize For Nothing
Behemoth,black metal,Demonica
Benga,dubstep,GetDarker Presents THIS IS DUBSTEP 2
Tha Liks,los angeles,X.O. Experience
Teenage Fanclub,power pop,Bandwagonesque
Hins Cheung,cantonese pop,Urban Emotions
4 Skins,oi,The Secret Life Of The 4 Skins
Anita Kerr,country gospel,And Now...The Anita Kerr Orchestra!
Ten Years After,blues-rock,Cricklewood Green
Vangelis,progressive rock,3 Originals
Black Eyed Peas,hip hop,Bridging The Gap
Danielle Bollinger,tribal house,When The Broken Hearted Love Again
Martina McBride,country,Emotion
Dora The Explorer,goregrind,Dora The Explorer Party Favorites
Jim Bryson,singer-songwriter,The North Side Benches
Adrenalin O.D.,hardcore punk,Humungousfungusamongus
Joe Graves & The Diggers,lounge music,Ultra-Lounge / Bossa Novaville Volume Fourteen
Johnny Horton,country rock,Country Legend
U2,dance rock,October
Eddie,frevo,Brazil Classics 7: What's Happening in Pernambuco_ New Sounds of the Brazilian Northeast
Dean Evenson,meditation,Ascension To Tibet
Vincent Bruley,fusion,"OxygA""ne 5: Le Vent"
ZO2,hard rock,Ain't It Beautiful
Brent Lamb,country gospel,Reflections Of A Simple Man
April Wine,pop rock,Harder . . . Faster
Mannheim Steamroller,instrumental pop,Christmas Song
Alex Ubago,latin pop,Calle ilusion
Arctique,vocal trance,Season Selection - Summer
Eric Burdon,blues-rock,Wild & Wicked
MAY=negarm,viking metal,Vargstenen
Jean Corti,chanson,Fiorina
Mariah Carey,dance pop,Greatest Hits
James Horner,rock,The Missing
Jacky Cheung,cantonese pop,E Lang Chuan Shou
Lacy J. Dalton,classic country,Christmas Country
Cassius Clay,soft rock,I Am The Greatest!
Phil Collins,soft rock,Serious Hits... Live!
Jim Reeves,country gospel,Christmas Songbook
Nestor Torres,latin jazz,The Very Best of Nestor Torres
The Baltimore Consort,early music,The Best of The Baltimore Consort
Black Flag,hardcore punk,I Can See You
Henri Rene And His Orchestra,space age pop,Ultra-Lounge / A Bachelor In Paris - Volume Ten
Disco D feat. Lola Damone & Helluva,bass music,A Night At the Booty Bar
Professor Longhair,louisiana blues,Tipitina
Lyrics Born,hip hop,Same !@#$ Different Day
Black Box,disco,NOW Dance Anthems
Monika_ Wolfgang,ballad,Mutter Erde
North Mississippi Allstars,blues-rock,Barnyard (OST)
Time Factory,hip house,No borders
John Digweed,progressive house,Warung Beach
Death Cab for Cutie,dream pop,Narrow Stairs
Neil Diamond,soft rock,Play Me: The Complete Uni Studio Recordings...Plus!
High Strung_ The,post-grunge,These Are Good Times
Vincent Bruley,fusion,Le Temps Suspendu
The Meatmen,hardcore punk,Cover the Earth
Four Tet,electronic,My Angel Rocks Back and Forth
Gary Morris,country gospel,THAT GIRL
Dale Russ / Finn MacGinty,lullaby,North Amerikay
Marygold,pop rock,Turned Left But Don't Know If It Was Right
Axe,hard rock,Nemesis
Jose Luis Perales,latin pop,ColecciA3n Diamante
Dave Valentin,latin jazz,Sunshower
Milk Inc.,dance pop,Supersized
Evanescence,alternative metal,The Open Door
Naseebo Lal,italian disco,Chithi Lae ke Kabootar Ja
Joe Derrane_ Frankie Gavin_ Brian McGrath,irish folk,Ireland's Harvest
Los Iracundos,latin pop,Discografia Completa Vol. 9
Jacky Cheung,cantonese pop,Zhen Qing Liu Lu
Casual,hip hop,Casual
Truckfighters,stoner rock,Phi
Connie Smith,country gospel,The Essential Connie Smith
Mark Lowry,ccm,For The First Time On Planet Earth
Eugene McDaniels,rare groove,Right On!
Skeletonwitch,speed metal,Beyond the Permafrost
Petra,ccm,Petrafied! (Very Best Of Petra
Peggy Lee,vocal jazz,Happy Day Collection - Fonzie's Women
Leigh Jones,neo soul,Music in My Soul
The Five Stairsteps,chicago soul,Cameo Parkway 1957-1967
Roberto Torres,salsa,Lo Mejor De Roberto Torres / Vol. II
G Unit ft. 50 Cent_ Lloyd Banks & Tony Yayo,rap,Body Snatcher's
Onesidezero,post-grunge,Is This Room Getting Smaller?
Dictafone,chanson francaise,Wrapped Up In A Five Pound Note
Jazz Gillum,chicago blues,Jazz Gillum Vol. 1 1936-1938
Lexie Mountain Boys,free improvisation,Sexy Fountain Noise
Los AutA(c)nticos Decadentes,cumbia,Vinyl Replica: El Milagro Argentino
Lighthouse Family,blue-eyed soul,The Very Best Of
Freddie King,texas blues,Getting Ready... (World)
EPMD,hip hop,Out Of Business
X-Raided featuring Teddy Bear_ Big Pook_ T-Nutty,gangster rap,X-Filez V.3: The Madman Era
High Strung_ The,post-grunge,These Are Good Times
Socialburn,post-grunge,Where You Are
Roger Miller,honky tonk,Country In My Pillow
Sal Mineo,brill building pop,Backline Volume 46
T-Bone Walker,texas blues,My Baby Left Me
Black Debbath,blues,"Naar Vi DA,de Rocker"
Thomas Battenstein,guitar,Stille Nacht
Hatebreed,hardcore punk,Satisfaction Is The Death Of Desire
Confetti's,new beat,Greatest Hits
Dorothy Norwood,blues,Hattie B's Daughter
Small Faces,rock 'n roll,Ultimate Collection
Vinylbase,hardstyle,Life
Bobby Hutcherson,latin jazz,Dialogue (The Rudy Van Gelder Edition)
Gene Autry,classic country,Back In The Saddle Again
Mr. De',dirty rap,Belive In Soul E.P.
Patrizia Pace/Waltraud Meier/Frank Lopardo/James Morris/Swedish Radio Choir/Stockholm Chamber Choir/Berliner Philharmoniker/Riccardo Muti,los angeles,Mozart - Sacred Choral Works
Bill & Gloria Gaither,country gospel,Jerusalem Homecoming
Panic! At The Disco,pop punk,A Fever You Can't Sweat Out
The Fureys,irish folk,The Dizzy Gillespie Alumni All-Stars: Dizzy's 80th Birthday Party
Nestor Torres,latin jazz,The Very Best of Nestor Torres
Birmingham Jubilee Singers,gospel,Birmingham Jubilee Singers Vol. 2 (1927-1930)
Poncho Sanchez,latin jazz,Latin Spirits
John Cale,experimental rock,Artificial Intelligence
Eduardo Fernandez,classical,The Spanish Guitar - The Top 10
Los Cisnes,delta blues,16 Exitos De Los Mejores Trios Mexicanos
The Jordanaires,country gospel,The King's Harmoniers
Ana Popovic,blues-rock,Still Making History
Les Hou-Lops,freakbeat,"Tout ira trA""s bien"
Defari,hip hop,Odds & Evens
Bounty Killer,dancehall,Nah No Mercy - The Warlord Scrolls
The Rolling Stones,blues,Exile On Main St
Dora The Explorer,goregrind,Dora The Explorer Dance Fiesta!
Bill & Gloria Gaither,country gospel,Reunion
Gyptian,reggae,Strictly One Drop
Professor Longhair,louisiana blues,And... R&B was born
Busdriver,alternative hip hop,Sun Shower
Robert Palmer,blue-eyed soul,At The BBC
Dario Marianelli,symphony,Everybody's Fine
Fastway,heavy metal,Trick Or Treat - Original Motion Picture Soundtrack  Featuring FASTWAY
Alain Turban,chanson,Medrano
Cut Copy,alternative dance,In Ghost Colours
Teenage Fanclub,power pop,Man-made
Maire Brennan,irish folk,Whisper To The Wild Water
2 Minutos,skate punk,Valentin Alsina
Paul Stanley,hard rock,Paul Stanley
Daryl Hall & John Oates,pop rock,Change Of Season
Georges Delerue,smooth jazz,Chouans!
Liam O'Flynn,irish folk,Celtic Twilight 6
DJ Spinn,chicago house,Soul Searchin' Part 2
The California Cajun Orchestra,zydeco,Not Lonesome Anymore
Screamin' Jay Hawkins,rock 'n roll,I Put a Spell on You: The Best Of
Floor,stoner metal,Below & Beyond
Tiny Bradshaw,piano blues,The History of Rhythm and Blues - Disc 3
Simon Harris,hip house,Wicked Disco & Soul Breaks
Smut Peddlers,dirty rap,ISM
Soul Mekanik,tech house,Get Your Head Stuck On Your Neck
Michael Whalen,meditation,The Shape Of Life
Kiss,hard rock,Sonic Boom
LaWanda Page,stand-up comedy,Mutha Is Half a Word
Rory Block,delta blues,The Early Tapes 1975-1976
Taking Back Sunday,post-hardcore,Where You Want To Be
Memphis Jug Band,country blues,The Best Of The Memphis Jug Band
Eddy Raven,zydeco,The Very Best Of Eddy Raven
Fred Merpol,french pop,En vrai
Mariah Carey Featuring Da Brat & JD,dance pop,The Remixes
Christina Aguilera,dance pop,Dance Vault Remixes - Beautiful
X-tv,ost,Three is a crowd
Irma Thomas,delta blues,The Story Of My Life
Black Debbath,blues,Den Femte Statsmakt
Steve Harvey,glam rock,Live ... Down South Somewhere
Neil Diamond,soft rock,Tennessee Moon
Antonis Remos,pop folk,Antonis Remos Live
Bruno Sanfilippo,chill-out,The New Kingdom
2raumwohnung,tech house,In wirklich
Henry Mancini,instrumental pop,Sousa In Hi-Fi
Cindy Morgan,ccm,The Definitive Collection
Rainforest Trio,bossa nova,Beyond Brasil
Los Originales De San Juan,mariachi,Lo Mejor De Los Originales
John D. Loudermilk,blues-rock,The Open Mind Of John D. Loudermilk
Coldplay,piano rock,Fix You
Deepface,club,I Want To Live
Lily Allen,ska,It's Not Me_ It's You
Foghat,blues-rock,Live
The Meatmen,hardcore punk,Cover the Earth
